Name,Gender,Date_of_Birth,Domicile_State,Reservation_Category,10th_Marks,12th_Marks,Exam_Marks,Home_Guard_Status,Marital_Status,FIR_Registered
Student_1,Female,1995-01-01,State_B,OBC,9.51,8.27,8.67,Yes,Single,No
Student_2,Male,1995-01-01,State_C,OBC,5.92,5.37,3.77,Yes,Single,No
Student_3,Female,1995-01-01,State_C,OBC,7.01,5.5,2.41,Yes,Single,Yes
Student_4,Male,1995-01-01,State_A,SC,8.45,9.13,8.25,No,Single,No
Student_5,Female,1995-01-01,State_A,General,6.84,11.27,10.42,No,Single,No
Student_6,Male,1995-01-01,State_A,ST,11.36,12.35,14.08,Yes,Single,No
Student_7,Male,1995-01-01,State_C,ST,12.35,12.47,16.58,No,Married,No
Student_8,Female,1995-01-02,State_D,OBC,11.06,12.89,10.66,Yes,Single,No
Student_9,Female,1995-01-02,State_D,OBC,12.19,13.8,12.17,No,Divorced,No
Student_10,Female,1995-01-02,State_A,SC,8.84,9.56,9.21,No,Divorced,No
Student_11,Male,1995-01-02,State_D,General,15.22,13.1,11.23,No,Single,No
Student_12,Male,1995-01-02,State_B,OBC,14.67,15.8,13.7,No,Single,No
Student_13,Female,1995-01-02,State_D,General,7.05,11.01,10.81,No,Single,No
Student_14,Female,1995-01-03,State_D,OBC,11.39,9.91,8.89,No,Single,No
Student_15,Male,1995-01-03,State_A,SC,10.21,12.51,10.52,Yes,Single,No
Student_16,Female,1995-01-03,State_B,OBC,12.9,12.27,14.59,No,Married,No
Student_17,Male,1995-01-03,State_B,SC,7.63,8.97,10.82,No,Single,No
Student_18,Female,1995-01-03,State_D,General,11.41,11.46,13.11,No,Single,No
Student_19,Male,1995-01-03,State_D,OBC,8.72,7.86,4.5,No,Single,No
Student_20,Male,1995-01-04,State_C,SC,12.71,10.94,11.94,No,Single,No
Student_21,Female,1995-01-04,State_A,General,11.62,13.49,12.2,No,Single,No
Student_22,Male,1995-01-04,State_C,OBC,16.19,13.85,15.58,No,Married,No
Student_23,Female,1995-01-04,State_C,ST,12.64,10.73,9.91,No,Single,No
Student_24,Female,1995-01-04,State_A,ST,14.0,11.63,13.67,Yes,Married,No
Student_25,Male,1995-01-04,State_B,SC,12.0,13.5,7.74,No,Single,No
Student_26,Female,1995-01-05,State_B,OBC,8.43,8.02,6.54,No,Single,No
Student_27,Female,1995-01-05,State_B,General,7.85,10.38,11.89,No,Single,No
Student_28,Male,1995-01-05,State_A,ST,11.62,10.06,7.1,No,Single,Yes
Student_29,Male,1995-01-05,State_B,General,13.05,12.73,14.96,No,Married,No
Student_30,Male,1995-01-05,State_D,OBC,9.43,8.97,9.74,No,Single,No
Student_31,Male,1995-01-05,State_C,General,11.63,11.13,8.68,Yes,Married,No
Student_32,Male,1995-01-05,State_B,ST,10.73,13.25,11.56,No,Married,Yes
Student_33,Male,1995-01-06,State_D,OBC,10.38,9.66,8.85,No,Single,Yes
Student_34,Male,1995-01-06,State_D,SC,9.51,11.82,12.67,Yes,Single,No
Student_35,Male,1995-01-06,State_B,OBC,10.78,12.03,12.67,No,Single,No
Student_36,Male,1995-01-06,State_B,SC,12.33,9.27,6.82,No,Single,No
Student_37,Male,1995-01-06,State_A,SC,9.21,11.59,8.42,No,Single,No
Student_38,Female,1995-01-06,State_C,SC,12.14,8.47,11.68,No,Single,No
Student_39,Male,1995-01-07,State_C,General,11.88,11.47,10.96,No,Single,No
Student_40,Male,1995-01-07,State_A,OBC,16.29,14.36,14.83,No,Single,No
Student_41,Female,1995-01-07,State_D,SC,7.91,6.4,8.5,No,Married,No
Student_42,Female,1995-01-07,State_B,ST,16.86,13.78,17.13,No,Married,No
Student_43,Male,1995-01-07,State_D,SC,13.16,14.16,15.44,No,Single,No
Student_44,Female,1995-01-07,State_A,OBC,10.35,12.31,14.24,No,Married,No
Student_45,Male,1995-01-08,State_B,OBC,14.34,15.5,14.22,No,Single,No
Student_46,Male,1995-01-08,State_B,General,5.06,5.3,4.16,No,Married,No
Student_47,Male,1995-01-08,State_A,General,6.9,7.41,8.15,No,Single,No
Student_48,Female,1995-01-08,State_D,ST,4.89,5.61,6.31,No,Single,No
Student_49,Female,1995-01-08,State_D,General,10.65,11.02,7.88,No,Single,No
Student_50,Male,1995-01-08,State_B,SC,15.71,15.28,15.91,No,Single,No
Student_51,Male,1995-01-09,State_B,SC,10.33,10.48,8.63,Yes,Married,No
Student_52,Male,1995-01-09,State_C,SC,10.3,10.58,8.75,No,Single,No
Student_53,Other,1995-01-09,State_A,General,5.44,5.11,1.08,No,Single,No
Student_54,Female,1995-01-09,State_B,SC,7.96,7.47,8.86,No,Single,No
Student_55,Male,1995-01-09,State_A,OBC,6.74,5.49,6.56,No,Single,No
Student_56,Male,1995-01-09,State_C,General,11.61,7.49,8.69,No,Married,No
Student_57,Male,1995-01-09,State_C,General,10.24,12.37,11.83,Yes,Single,No
Student_58,Male,1995-01-10,State_D,General,13.4,13.34,14.29,No,Single,No
Student_59,Other,1995-01-10,State_D,OBC,11.21,9.78,8.37,No,Single,No
Student_60,Other,1995-01-10,State_B,SC,7.37,2.81,5.55,Yes,Single,No
Student_61,Male,1995-01-10,State_D,OBC,7.41,9.36,7.98,No,Divorced,No
